vehicle_id,event,event_ts,battery_level,matched_battery_ts
04105a12-59b9-447b-865f-599f48eed1d7,ignitionOn,2023-01-06T18:58:28.000012,47.4,2023-01-06T18:58:33.000015
04105a12-59b9-447b-865f-599f48eed1d7,ignitionOff,2023-01-06T19:00:28.000013,47.4,2023-01-06T19:00:37.000053
04105a12-59b9-447b-865f-599f48eed1d7,ignitionOn,2023-01-13T17:25:45.000002,47.0,2023-01-13T17:25:53.000200
04105a12-59b9-447b-865f-599f48eed1d7,ignitionOff,2023-01-13T17:27:47.000078,47.0,2023-01-13T17:27:50.000001
19c4f06a-d5c7-4e51-ae2c-56c5367c0d50,artificial_event,2021-12-19T07:31:53.009000,,
19c4f06a-d5c7-4e51-ae2c-56c5367c0d50,artificial_event,2021-12-19T18:33:46.004000,,
19c4f06a-d5c7-4e51-ae2c-56c5367c0d50,artificial_event,2021-12-20T17:45:08.022000,,
19c4f06a-d5c7-4e51-ae2c-56c5367c0d50,artificial_event,2021-12-21T22:52:04.009000,,
19c4f06a-d5c7-4e51-ae2c-56c5367c0d50,artificial_event,2021-12-22T17:35:47.008000,,
19c4f06a-d5c7-4e51-ae2c-56c5367c0d50,artificial_event,2021-12-24T00:18:41.048000,,
19c4f06a-d5c7-4e51-ae2c-56c5367c0d50,artificial_event,2021-12-25T18:38:17.030000,,
19c4f06a-d5c7-4e51-ae2c-56c5367c0d50,artificial_event,2021-12-26T03:01:03.007000,,
19c4f06a-d5c7-4e51-ae2c-56c5367c0d50,artificial_event,2021-12-26T18:57:20.010000,,
19c4f06a-d5c7-4e51-ae2c-56c5367c0d50,artificial_event,2021-12-30T17:43:07.024000,,
19c4f06a-d5c7-4e51-ae2c-56c5367c0d50,artificial_event,2021-12-30T21:20:21.032000,,
19c4f06a-d5c7-4e51-ae2c-56c5367c0d50,artificial_event,2022-01-02T21:00:58.002000,,
19c4f06a-d5c7-4e51-ae2c-56c5367c0d50,artificial_event,2022-01-04T03:23:07.007000,,
19c4f06a-d5c7-4e51-ae2c-56c5367c0d50,artificial_event,2022-01-07T23:00:57.003000,,
19c4f06a-d5c7-4e51-ae2c-56c5367c0d50,artificial_event,2022-01-08T01:12:59.040000,,
19c4f06a-d5c7-4e51-ae2c-56c5367c0d50,artificial_event,2022-01-08T19:26:29.007000,,
19c4f06a-d5c7-4e51-ae2c-56c5367c0d50,artificial_event,2022-01-09T20:11:31.711000,,
19c4f06a-d5c7-4e51-ae2c-56c5367c0d50,artificial_event,2022-01-11T22:49:50.026000,,
19c4f06a-d5c7-4e51-ae2c-56c5367c0d50,artificial_event,2022-01-11T23:55:04.015000,,
19c4f06a-d5c7-4e51-ae2c-56c5367c0d50,artificial_event,2022-01-13T00:25:55.006000,,
19c4f06a-d5c7-4e51-ae2c-56c5367c0d50,artificial_event,2022-01-22T22:16:04.009000,,
19c4f06a-d5c7-4e51-ae2c-56c5367c0d50,artificial_event,2022-01-23T20:09:18.036000,,
19c4f06a-d5c7-4e51-ae2c-56c5367c0d50,artificial_event,2022-01-27T19:03:57.025000,,
19c4f06a-d5c7-4e51-ae2c-56c5367c0d50,artificial_event,2022-01-28T17:10:11.008000,,
19c4f06a-d5c7-4e51-ae2c-56c5367c0d50,artificial_event,2022-01-28T20:31:07.037000,,
19c4f06a-d5c7-4e51-ae2c-56c5367c0d50,artificial_event,2022-01-29T01:31:13.100000,,
19c4f06a-d5c7-4e51-ae2c-56c5367c0d50,artificial_event,2022-01-29T19:46:08.025000,,
19c4f06a-d5c7-4e51-ae2c-56c5367c0d50,artificial_event,2022-01-30T19:44:07.038000,,
3bb48ce7-bb7e-4b4f-b902-b0561e1cd2e0,ignitionOff,2023-01-30T21:24:56.000007,80.7,2023-01-30T21:24:57.000300
3bb48ce7-bb7e-4b4f-b902-b0561e1cd2e0,ignitionOn,2023-01-30T21:27:01.000002,80.7,2023-01-30T21:27:10.000200
3bb48ce7-bb7e-4b4f-b902-b0561e1cd2e0,ignitionOff,2023-01-30T21:27:37.000021,80.7,2023-01-30T21:27:44.000300
